,department,course,title,credit hours (u),credit hours (l),lecture hours (u),lecture hours (l),lab hours (u),lab hours (l),other hours (u),other hours (l),description,Prerequisites,Tag
24,CSCE,411,Design and Analysis of Algorithms,3,3,3,3,,,,,Study of computer algorithms for numeric and non-numeric problems; design paradigms; analysis of time and space requirements of algorithms; correctness of algorithms; NP-completeness and undecidability of problems. Prerequisite: Grade of C or better in CSCE 221 and CSCE 222/ECEN 222; junior or senior classification or approval of instructor.,CSCE 221,required
25,CSCE,412,Cloud Computing,3,3,3,3,,,,,"Operating system and distributed systems fields that form the basis of cloud computing such as virtualization, key-value storage solutions, group membership, failure detection, peer to peer systems, datacenter networking, resource management and scalability; popular frameworks such as MapReduce and HDFS and cases studies on failure determination. Prerequisite: Grade of C or better in CSCE 315.",CSCE 315,Systems
26,CSCE,413,Software Security,3,3,3,3,,,,,"Basic principles of design and implementation of defect-free software, code reviews including tool-assisted review by static and dynamic analysis, risk analysis and management and methods for software security testing. Prerequisites: Grade of C or better in CSCE 315 or approval of instructor.",CSCE 315,optional
27,CSCE,416,Hardware Design Verification,3,3,3,3,,,,,"Hardware functional verification; case studies on verification in integrated circuit design; introduction to industry best practices; introduction to logic functional verification. Prerequisites: CSCE 312, CSCE 350/ECEN 350, or ECEN 350/CSCE 350, or equivalent in computer architecture; familiarity with C/C++/Verilog/VHDL programming. Cross Listing: ECEN 416/CSCE 416.",CSCE 312,Systems
28,CSCE,420,Artificial Intelligence,3,3,3,3,,,,,"Fundamental concepts and techniques of intelligent systems; representation and interpretation of knowledge on a computer; search strategies and control; active research areas and applications such as notational systems, natural language understanding, vision systems, planning algorithms, intelligent agents and expert systems. Prerequisite: CSCE 411 or approval of instructor.",CSCE 411,Information and Intelligent Systems
29,CSCE,421,Machine Learning,3,3,3,3,,,,,"Theoretical foundations of machine learning, pattern recognition and generating predictive models and classifiers from data; includes methods for supervised and unsupervised learning (decision trees, linear discriminants, neural networks, Gaussian models, non-parametric models, clustering, dimensionality reduction, deep learning), optimization procedures and statistical inference. Prerequisite: Grade of C or better in MATH 304, MATH 311, or MATH 323; grade of C or better in STAT 211; grade of C or better in CSCE 221 or STAT 404. Cross Listing: STAT 421/CSCE 421.",CSCE 221,Information and Intelligent Systems
30,CSCE,426,Security of Embedded Systems,3,3,3,3,,,,,"Security principles; common security features and flaws in day-to-day embedded systems; security analysis, vulnerability exploits and security fixes for embedded systems. Prerequisite: Grade of C or better in ECEN 350/CSCE 350, CSCE 350/ECEN 350, or CSCE 312; junior or senior classification. Cross Listing: ECEN 426/CSCE 426.",CSCE 350,optional
31,CSCE,429,"Software Development, Globalization and Culture Abroad",3,3,3,3,,,,,"Software development cycle; software outsourcing model, execution and practices; software industries on products, services and consultancy; software globalization; and offshore development culture; travel abroad required. Prerequisite: CSCE 315 or approval of instructor.",CSCE 315,Software
32,CSCE,430,Problem Solving Programming Strategies,3,3,2,2,3,3,,,"Methods for analyzing fundamental programming problems from a variety of domains and implementing solutions quickly and efficiently; problems based on competitive programming contests to develop skills in problem analysis, coding and testing; solving problems will involve identifying and applying a range of algorithmic solutions; includes dealing with combinatorics, dynamic programming, graphs, numerical calculations, string processing and geometry, along with other specialized algorithms. Prerequisites: CSCE 411 or approval of instructor.",CSCE 411,Software
33,CSCE,431,Software Engineering,3,3,2,2,2,2,,,"Application of engineering approach to computer software design and development; life cycle models, software requirements and specification; conceptual model design; detailed design; validation and verification; design quality assurance; software design/development environments and project management. Prerequisite: CSCE 315 or approval of instructor.",CSCE 315,Software
34,CSCE,433,Formal Languages and Automata,3,3,3,3,,,,,Basic types of abstract languages and their acceptors; the Chomsky hierarchy; solvability and recursive function theory; application of theoretical results to practical problems. Prerequisite: CSCE 315 or approval of instructor.,CSCE 315,Algorithms and Theory
35,CSCE,434,Compiler Design,3,3,3,3,,,,,Programming language translation; functions and general organization of compiler design and interpreters; theoretical and implementation aspects of lexical scanners; parsing of context free languages; code generation and optimization; error recovery. Prerequisite: CSCE 315 or approval of instructor.,CSCE 315,Software
36,CSCE,435,Parallel Computing,3,3,3,3,,,,,"Overview of parallel computing technology and programming methods; includes multiprocessor architectures, programming tools, parallel performance, parallel algorithms, and applications of parallel computing. Prerequisites: CSCE 315 and junior or senior classification; or approval of instructor.",CSCE 315,Software
37,CSCE,436,Computer-Human Interaction,3,3,3,3,,,,,Comprehensive study of the Computer-Human Interaction (CHI) area; includes history and importance of CHI; CHI design theories; modeling of computer users and interfaces; empirical techniques for task analysis and interface design; styles of interaction and future directions of CHI including hypermedia and computer-supported collaborative work. Prerequisite: CSCE 315 or concurrent enrollment or approval of instructor.,CSCE 315,Information and Intelligent Systems
38,CSCE,438,Distributed Systems,3,3,3,3,,,,,"Principles and techniques for engineering distributed systems with topics including communication, concurrency, programming paradigms, naming, managing shared state, caching, synchronization, reaching agreement, fault tolerance, security, middleware and distributed applications; design, implement and debug large software systems. Prerequisite: CSCE 313; junior or senior classification, or approval of instructor.",CSCE 313,Software
39,CSCE,440,Quantum Algorithms,3,3,3,3,,,,,Introduction to the design and analysis of quantum algorithms; basic principles of the quantum circuit model; gives a gentle introduction to basic quantum algorithms; reviews recent results in quantum information processing. Prerequisite: CSCE 315 or approval of instructor.,CSCE 315,Algorithms and Theory
40,CSCE,441,Computer Graphics,3,3,3,3,,,,,"Principles of interactive computer graphics; 2-D and 3-D rendering pipelines, including geometric object and view transformations, projections, hidden surface removal, and rasterization; lighting models for local and global illumination; hierarchical models of 3-D objects; systems and libraries supporting display and user interaction. Prerequisite: CSCE 221; junior or senior classification or approval of instructor.",CSCE 221,Information and Intelligent Systems
41,CSCE,442,Scientific Programming,3,3,3,3,,,,,"Introduction to numerical algorithms fundamental to scientific and engineering applications of computers; elementary discussion of error; algorithms, efficiency; polynomial approximations, quadrature and systems of algebraic and differential equations. Prerequisites: CSCE 221 with a grade of C or better; MATH 304 or MATH 308 or concurrent enrollment.",CSCE 221,Algorithms and Theory
42,CSCE,443,Game Development,3,3,2,2,2,2,,,"Aesthetic and technical aspects of computer game development, including game mechanics, story development, content creation and game programming; includes game design, interface design, 3D modeling and animation, graphics algorithms, shader programming and artificial intelligence; group project includes the design and development of a game from start to finish. Prerequisites: CSCE 441 or VIST 486 or approval of instructor; junior or senior classification. Cross Listing: VIST 487/CSCE 443.",CSCE 441,Information and Intelligent Systems
43,CSCE,444,Structures of Interactive Information,3,3,2,2,2,2,,,"A systems approach to the programming, design, authoring and theory of hypermedia; object-oriented visual and interactive programming; visual design, including color, space, text and layering; the reference as a metadisciplinary structure; collecting and sampling; ontologies, maps and navigation as means of structuring information; create dynamic hypermedia that is expressive and interpretive. Prerequisite: CSCE 315 or approval of instructor.",CSCE 315,Information and Intelligent Systems
44,CSCE,445,Computers and New Media,3,3,3,3,,,,,Potential and realized impact of computers in the design of new media; relationship between authors and readers of interactive material; influence of media design on the content expressed. Prerequisite: CSCE 221 or approval of instructor.,CSCE 221,Information and Intelligent Systems
45,CSCE,446,Virtual Reality,3,3,3,3,,,,,"Theory and practice of virtual reality; interactive 3D virtual environments; input/output devices, 3D interaction techniques, augmented reality, role of realism in VR, navigation techniques, design guidelines and evaluation methods. Prerequisite: Grade of C or better in VIST 271, CSCE 221, or CSCE 441. Cross Listing: VIST 477/CSCE 446.",CSCE 221,Information and Intelligent Systems
46,CSCE,447,Data Visualization,3,3,3,3,,,,,"Visual representation and design of data and information; 3D visualization, infographics, data narratives, principles of visual data encoding and interaction techniques. Prerequisite: Grade of C or better in VIST 271, or CSCE 221, or CSCE 441. Cross Listing: VIST 476/CSCE 447.",CSCE 221,Information and Intelligent Systems
47,CSCE,449,Applied Cryptography,3,3,3,3,,,,,Applied cryptography; secure multi-party computations; zero knowledge proofs; blockchain and machine learning. Prerequisite: CSCE 221.,CSCE 221,optional
48,CSCE,451,Software Reverse Engineering,3,3,2,2,2,2,,,"Overview of the compilation mechanism to generate executable files and raw binary codes from source codes; executable file formats for an operating system to run the binary code; disassembly algorithms and control graph analysis; static and dynamic analyses; case studies on code obfuscation, codebreaking, malware analysis. Prerequisite: CSCE 313 or approval of instructor.",CSCE 313,Software
49,CSCE,452,Robotics and Spatial Intelligence,3,3,3,3,,,,,"Algorithms for executing spatial tasks; path planning and obstacle aance in two- and three-dimensional robots--configuration space, potential field, free-space decomposition methods; stable grasping and manipulation; dealing with uncertainty; knowledge representation for planning--geometric and symbolic models of the environment; task-level programming; learning. Prerequisite: CSCE 315 or approval of instructor.",CSCE 315,Information and Intelligent Systems
50,CSCE,456,Real-Time Computing,4,4,3,3,3,3,,,Introduction to principles and applications of real-time computing; system architecture; D/A and A/D conversion; synchronous data acquisition and analysis; computers in real-time control; asynchronous monitoring and control; resource scheduling; interfacing issues; lectures and laboratory. Prerequisites: CSCE 313 and MATH 152.,CSCE 313,Systems
51,CSCE,461,Embedded Systems for Medical Applications,3,3,2,2,3,3,,,"Principles of embedded system architecture and programming; fundamentals and theoretical foundations of wireless communication systems; hands-on experiences of how an embedded system could be used to solve problems in biomedical engineering; projects on wireless sensors and imaging for medical devices. Prerequisite: BMEN 211, CSCE 350/ECEN 350, or CSCE 315, or approval of instructor. Cross Listing: BMEN 428/CSCE 461.",CSCE 350,Systems
52,CSCE,462,Microcomputer Systems,3,3,2,2,1,1,,,"Microcomputers as components of systems; VLSI processor and coprocessor architectures, addressing and instruction sets; I/O interfaces and supervisory control; VLSI architectures for signal processing; integrating special purpose processors into a system. Prerequisite: CSCE 313.",CSCE 313,Systems
53,CSCE,463,Networks and Distributed Processing,3,3,3,3,,,,,"Basic hardware/software, architectural components for computer communications; computer networks, switching, routing, protocols and security; multiprocessing and distributed processing; interfacing operating systems and networks; case studies of existing networks and network architectures. Prerequisite: CSCE 313 or approval of instructor.",CSCE 313,Systems
54,CSCE,464,Wireless and Mobile Systems,3,3,3,3,,,,,"Introduction to wireless and mobile systems; wireless communication fundamentals; wireless medium access control design; transmission scheduling, network and transport protocols over wireless design, simulation and evaluation; wireless capacity; telecommunication systems; vehicular, adhoc, and sensor network systems; wireless security; mobile applications. Prerequisites: CSCE 313; junior or senior classification or approval of instructor.",CSCE 313,Systems
55,CSCE,465,Computer and Network Security,3,3,3,3,,,,,"Fundamental concepts and principles of computer security, operating system and network security, secret key and public key cryptographic algorithms, hash functions, authentication, firewalls and intrusion detection systems, IPSec and VPN, wireless and web security. Prerequisites: CSCE 313 and CSCE 315; junior or senior classification; or approval of instructor.",CSCE 313,Systems
56,CSCE,469,Advanced Computer Architecture,3,3,3,3,,,,,"Advanced computer architectures including memory designs, pipeline techniques, and parallel structures such as vector computers and multiprocessors. Prerequisite: Grade of C or better in ECEN 350/CSCE 350 or CSCE 350/ECEN 350; junior or senior classification. Cross Listing: ECEN 469/CSCE 469.",CSCE 350,Systems
57,CSCE,470,Information Storage and Retrieval,3,3,3,3,,,,,"Representation of, storage of and access to very large multimedia document collections; fundamental data structures and algorithms of current information storage and retrieval systems and relates various techniques to design and evaluation of complete retrieval systems. Prerequisite: CSCE 315 or approval of instructor.",CSCE 315,Information and Intelligent Systems
58,CSCE,477,Cybersecurity Risk,3,3,3,3,,,,,"Risks in cybersecurity; avoidance, acceptance, mitigation, or transference strategies; developing reliable cybersecurity risk assessments to include analysis, categorization, and evaluation; cybersecurity risk audit frameworks. Prerequisite: Grade of C or better in CYBR 201/CSCE 201, CSCE 201/CYBR 201, or CSCE 221; junior or senior classification. Cross Listing: CYBR 403/CSCE 477.",CSCE 201,untracked
59,CSCE,481,Seminar,1,1,,,2,2,,,Investigation and report by students on topics of current interest in computer science. Prerequisite: Junior or senior classification.,non-course related,required
60,CSCE,482,Senior Capstone Design,3,3,1,1,6,6,,,"Project-based course to develop system integration skills for solving real-world problems in computer science; significant team software project that integrates advanced concepts across computer science specializations; projects require design, implementation, documentation and demonstration, as well as design methodology, management process and teamwork. Prerequisites: Senior classification; CSCE 315, CSCE 411, and two additional CSCE tracked courses.",CSCE 315,required
61,CSCE,483,Computer Systems Design,3,3,1,1,6,6,,,"Engineering design; working as a design-team member, conceptual design methodology, design evaluations, total project planning and management techniques, design optimization, systems manufacturing costs considerations; emphasis placed upon students' activities as design professionals. Prerequisites: CSCE 315, CSCE 462 and ECEN 325; senior classification.",CSCE 315,optional
62,CSCE,485,Directed Studies,6,0,,,,,6,0,Permits work on special project in computer science; project must be approved by the department. Prerequisite: Senior classification; also taught at Galveston campus.,non-course related,optional
63,CSCE,489,Special Topics in...,4,1,,,,,4,1,Special topics in computer science that are new or unique that are not covered in existing courses.,N/A,optional
64,CSCE,491,Research,4,0,,,,,4,0,Research conducted under the direction of faculty member in computer science. May be taken three times for credit. Prerequisites: Junior or senior classification and approval of instructor.,non-course related,optional
